order,sub_no,cond,trial,id,p,x,q,y,choice
2,2,0,23,27,10,300,70,100,1
2,2,0,24,67,10,500,90,200,1
2,2,0,25,81,10,400,40,200,1
2,2,0,26,93,20,400,70,300,1
2,2,0,27,90,30,400,90,200,1
2,2,0,28,65,20,300,90,200,1
2,2,0,29,101,10,400,90,200,1
2,2,0,30,115,20,400,90,100,1
2,2,0,31,130,90,300,70,100,0
2,2,0,32,12,30,400,70,300,1
2,2,0,33,92,20,400,90,300,1
2,2,0,34,112,10,200,30,100,1
2,2,0,35,66,10,200,40,100,1
2,2,0,36,11,40,500,70,400,1
2,2,0,37,139,70,200,30,100,0
2,2,0,38,3,10,500,40,200,1
2,2,0,39,31,20,400,70,200,1
2,2,0,40,40,30,300,40,200,1
2,2,0,41,53,30,500,70,300,1
2,2,0,42,61,40,500,70,200,1
2,2,0,43,75,30,400,70,100,1
2,2,0,44,120,40,500,90,100,1
2,2,0,45,106,30,500,40,300,1
2,2,0,46,142,70,300,70,200,0
2,2,0,47,83,20,500,40,300,1
2,2,0,48,134,20,100,10,100,0
2,2,0,49,54,10,500,90,300,1
2,2,0,50,108,70,500,90,200,1
2,2,0,51,37,40,400,90,200,1
2,2,0,52,89,20,400,30,100,0
2,2,0,53,77,40,200,70,100,1
2,2,0,54,38,20,400,30,300,1
2,2,0,55,23,30,500,70,200,1
2,2,0,56,51,20,400,90,200,1
2,2,0,57,63,40,300,70,100,1
2,2,0,58,150,90,500,90,100,0
2,2,0,59,26,10,400,20,200,0
2,2,0,60,5,30,300,70,100,1
2,2,0,61,141,90,500,30,500,0
2,2,0,62,133,30,500,30,400,0
2,2,0,63,144,30,300,20,100,0
2,2,0,64,56,20,500,90,200,1
2,2,0,65,41,10,500,70,400,1
2,2,0,66,44,20,500,40,400,0
2,2,0,67,128,90,500,30,300,0
2,2,0,68,47,20,500,70,200,1
2,2,0,69,100,10,500,20,400,1
2,2,0,70,124,40,400,30,300,1
2,2,0,71,32,20,500,40,100,1
2,2,0,72,145,90,500,40,100,0
2,2,0,73,7,10,400,40,100,1
2,2,0,74,59,10,500,90,100,1
2,2,0,75,62,40,500,90,400,1
2,2,0,76,135,30,500,10,400,0
2,2,0,77,68,20,500,70,100,1
2,2,0,78,16,10,300,70,200,1
2,2,0,79,49,30,300,70,200,1
2,2,0,80,127,90,400,20,300,0
2,2,0,81,35,30,500,90,200,1
2,2,0,82,94,30,500,90,400,1
2,2,0,83,122,90,200,70,200,0
2,2,0,84,88,20,500,90,100,1
2,2,0,85,29,70,400,90,200,1
2,2,0,86,36,40,400,70,300,1
2,2,0,87,103,10,500,40,400,1
2,2,0,88,28,40,200,90,100,1
2,2,0,89,73,30,400,40,200,0
2,2,0,90,50,10,500,70,300,1
2,2,0,91,58,40,500,90,300,1
2,2,0,92,8,30,400,40,300,1
2,2,0,93,24,40,300,90,100,1
2,2,0,94,46,40,300,70,200,1
2,2,0,95,55,30,200,70,100,1
2,2,0,96,2,40,400,70,100,1
2,2,0,97,78,10,300,90,200,1
2,2,0,98,110,10,300,20,100,1
2,2,0,99,149,70,300,10,200,0
2,2,0,100,39,70,200,90,100,1
2,2,0,101,138,40,400,10,300,0
2,2,0,102,13,30,300,40,100,1
2,2,0,103,95,70,300,90,200,1
2,2,0,104,79,10,300,30,100,1
2,2,0,105,60,20,200,90,100,1
2,2,0,106,111,10,500,40,100,1
2,2,0,107,21,10,300,40,100,1
2,2,0,108,70,30,500,90,100,1
